-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.116,  0.313
-183.797, 80.186, 0.218,  0.346
-183.793, 80.174, 0.321,  0.379
-183.787, 80.161, 0.416,  0.412
-183.779, 80.144, 0.528,  0.445
-183.767, 80.124, 0.601,  0.478
-183.751, 80.100, 0.751,  0.511
-183.732, 80.071, 0.882,  0.544
-183.712, 80.038, 1.050,  0.577
-183.691, 80.000, 1.218,  0.610
-183.669, 79.956, 1.384,  0.643
-183.646, 79.908, 1.537,  0.676
-183.622, 79.855, 1.676,  0.709
-183.599, 79.798, 1.791,  0.742
-183.575, 79.740, 1.862,  0.775
-183.552, 79.680, 1.899,  0.808
-183.528, 79.620, 1.911,  0.841
-183.505, 79.560, 1.903,  0.874
-183.483, 79.501, 1.882,  0.907
-183.460, 79.444, 1.850,  0.940
-183.438, 79.387, 1.811,  0.973
-183.416, 79.332, 1.767,  1.006
-183.394, 79.279, 1.719,  1.039
-183.373, 79.227, 1.669,  1.072
-183.352, 79.177, 1.617,  1.105
-183.331, 79.130, 1.539,  1.138
-183.311, 79.084, 1.479,  1.171
-183.292, 79.040, 1.430,  1.204
-183.272, 78.998, 1.391,  1.237
-183.253, 78.956, 1.366,  1.270
-183.234, 78.915, 1.358,  1.303
-183.214, 78.873, 1.369,  1.336
-183.194, 78.830, 1.401,  1.369
-183.174, 78.786, 1.453,  1.402
-183.153, 78.739, 1.520,  1.435
-183.131, 78.690, 1.598,  1.468
-183.109, 78.638, 1.680,  1.501
-183.086, 78.584, 1.763,  1.534
-183.063, 78.527, 1.835,  1.567
-183.040, 78.468, 1.877,  1.600
-183.018, 78.409, 1.895,  1.633
-182.995, 78.350, 1.893,  1.666
-182.973, 78.292, 1.876,  1.699
-182.952, 78.234, 1.847,  1.732
